text,sentiment,clean_text
The staff was very attentive.,positive,staff attentive
And the chef was generous with his time (even came around twice so we can take pictures with him).,positive,chef generous time even came around twice take pictures
"The owner used to work at Nobu,  so this place is really similar for half the price.",positive,owner used work nobu place really similar half price
Google mediocre and I imagine Smashburger will pop up.,negative,google mediocre imagine smashburger pop
dont go here.,negative,dont go
I promise they won't disappoint.,positive,promise wont disappoint
As a sushi lover avoid this place by all means.,negative,sushi lover avoid place means
What a great double cheeseburger!,positive,great double cheeseburger
Awesome service and food.,positive,awesome service food
A fantastic neighborhood gem !!!,positive,fantastic neighborhood gem
I can't wait to go back.,positive,cant wait go back
The plantains were the worst I've ever tasted.,negative,plantains worst ive ever tasted
It's a great place and I highly recommend it.,positive,great place highly recommend
Service was slow and not attentive.,negative,service slow attentive
"I gave it 5 stars then,  and I'm giving it 5 stars now.",positive,gave stars im giving stars
Your staff spends more time talking to themselves than me.,negative,staff spends time talking
Dessert: Panna Cotta was amazing.,positive,dessert panna cotta amazing
"Very good food,  great atmosphere.1",positive,good food great atmosphere
Damn good steak.,positive,damn good steak
Total brunch fail.,negative,total brunch fail
"Prices are very reasonable,  flavors are spot on,  the sauce is home made,  and the slaw is not drenched in mayo.",positive,prices reasonable flavors spot sauce home made slaw drenched mayo
"The decor is nice,  and the piano music soundtrack is pleasant.",positive,decor nice piano music soundtrack pleasant
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,positive,steak amazingrge fillet relleno best seafood plate ever
"Good food ,  good service .",positive,good food good service
It was absolutely amazing.,positive,absolutely amazing
"I probably won't be back,  to be honest.",negative,probably wont back honest
will definitely be back!,positive,definitely back
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,positive,sergeant pepper beef sandwich auju sauce excellent sandwich well
"Hawaiian Breeze,  Mango Magic,  and Pineapple Delight are the smoothies that I've tried so far and they're all good.",positive,hawaiian breeze mango magic pineapple delight smoothies ive tried far theyre good
Went for lunch - service was slow.,negative,went lunch service slow
"We had so much to say about the place before we walked in that he expected it to be amazing,  but was quickly disappointed.",negative,much say place walked expected amazing quickly disappointed
I was mortified.,negative,mortified
"Needless to say,  we will never be back here again.",negative,needless say never back
"Anyways,  The food was definitely not filling at all,  and for the price you pay you should expect more.",negative,anyways food definitely filling price pay expect
"The chips that came out were dripping with grease,  and mostly not edible.",negative,chips came dripping grease mostly edible
I wasn't really impressed with Strip Steak.,negative,wasnt really impressed strip steak
Have been going since 2007 and every meal has been awesome!!,positive,going since every meal awesome
Our server was very nice and attentive as were the other serving staff.,positive,server nice attentive serving staff
The cashier was friendly and even brought the food out to me.,positive,cashier friendly even brought food
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,negative,work hospitality industry paradise valley refrained recommending cibo longer
The atmosphere here is fun.,positive,atmosphere fun
Would not recommend to others.,negative,would recommend others
"Service is quick and even ""to go"" orders are just like we like it!",positive,service quick even go orders like like
"I mean really,  how do you get so famous for your fish and chips when it's so terrible!?!",negative,mean really get famous fish chips terrible
"That said,  our mouths and bellies were still quite pleased.",positive,said mouths bellies still quite pleased
Not my thing.,negative,thing
2 Thumbs Up!!,positive,thumbs
If you are reading this please don't go there.,negative,reading please dont go
"I loved the grilled pizza,  reminded me of legit Italian pizza.",positive,loved grilled pizza reminded legit italian pizza
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,positive,pros large seating area nice bar area great simple drink menu best brick oven pizza homemade dough
They have a really nice atmosphere.,positive,really nice atmosphere
Tonight I had the Elk Filet special...and it sucked.,negative,tonight elk filet specialand sucked
"After one bite,  I was hooked.",positive,one bite hooked
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,negative,ordered old classics new dishes going times sorely disappointed everything
"Cute,  quaint,  simple,  honest.",positive,cute quaint simple honest
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,positive,chicken deliciously seasoned perfect fry outside moist chicken inside
"The food was great as always,  compliments to the chef.",positive,food great always compliments chef
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,positive,special thanks dylan recommendation order yummy tummy
Awesome selection of beer.,positive,awesome selection beer
Great food and awesome service!,positive,great food awesome service
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8,  and they didn't expect more tip than that.",positive,one nice thing added gratuity bill since party larger didnt expect tip
A FLY was in my apple juice.. A FLY!!!!!!!!,negative,fly apple juice fly
The Han Nan Chicken was also very tasty.,positive,han nan chicken also tasty
"As for the service,  I thought it was good.",positive,service thought good
"The food was barely lukewarm,  so it must have been sitting waiting for the server to bring it out to us.",negative,food barely lukewarm must sitting waiting server bring us
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,negative,ryans bar definitely one edinburgh establishment wont revisiting
Nicest Chinese restaurant I've been in a while.,positive,nicest chinese restaurant ive
"Overall,  I like there food and the service.",positive,overall like food service
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,positive,also serve indian naan bread hummus spicy pine nut sauce world
"Probably never coming back,  and wouldn't recommend it.",negative,probably never coming back wouldnt recommend
"Friend's pasta -- also bad,  he barely touched it.",negative,friends pasta also bad barely touched
"Try them in the airport to experience some tasty food and speedy,  friendly service.",positive,try airport experience tasty food speedy friendly service
I love the decor with the Chinese calligraphy wall paper.,positive,love decor chinese calligraphy wall paper
Never had anything to complain about here.,positive,never anything complain
The restaurant is very clean and has a family restaurant feel to it.,positive,restaurant clean family restaurant feel
It was way over fried.,negative,way fried
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,negative,im sure long stood long enough begin feel awkwardly place
"When I opened the sandwich,  I was impressed,  but not in a good way.",negative,opened sandwich impressed good way
Will not be back!,negative,back
There was a warm feeling with the service and I felt like their guest for a special treat.,positive,warm feeling service felt like guest special treat
An extensive menu provides lots of options for breakfast.,positive,extensive menu provides lots options breakfast
"I always order from the vegetarian menu during dinner,  which has a wide array of options to choose from.",positive,always order vegetarian menu dinner wide array options choose
"I have watched their prices inflate,  portions get smaller and management attitudes grow rapidly!",negative,watched prices inflate portions get smaller management attitudes grow rapidly
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,positive,wonderful lil tapas ambience made feel warm fuzzy inside
"I got to enjoy the seafood salad,  with a fabulous vinegrette.",positive,got enjoy seafood salad fabulous vinegrette
"The wontons were thin,  not thick and chewy,  almost melt in your mouth.",positive,wontons thin thick chewy almost melt mouth
"Level 5 spicy was perfect,  where spice didn't over-whelm the soup.",positive,level spicy perfect spice didnt overwhelm soup
We were sat right on time and our server from the get go was FANTASTIC!,positive,sat right time server get go fantastic
"Main thing I didn't enjoy is that the crowd is of older crowd,  around mid 30s and up.",negative,main thing didnt enjoy crowd older crowd around mid
"When I'm on this side of town,  this will definitely be a spot I'll hit up again!",positive,im side town definitely spot ill hit
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,negative,wait minutes get drink longer get arepas
This is a GREAT place to eat!,positive,great place eat
The jalapeno bacon is soooo good.,positive,jalapeno bacon soooo good
The service was poor and thats being nice.,negative,service poor thats nice
"Food was good,  service was good,  Prices were good.",positive,food good service good prices good
The place was not clean and the food oh so stale!,negative,place clean food oh stale
"The chicken dishes are OK,  the beef is like shoe leather.",negative,chicken dishes ok beef like shoe leather
But the service was beyond bad.,negative,service beyond bad
"I'm so happy to be here!!!""",positive,im happy
Tasted like dirt.,negative,tasted like dirt
One of the few places in Phoenix that I would definately go back to again .,positive,one places phoenix would definately go back
The block was amazing.,positive,block amazing
"It's close to my house,  it's low-key,  non-fancy,  affordable prices,  good food.",positive,close house lowkey nonfancy affordable prices good food
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,positive,hot sour egg flower soups absolutely stars
My sashimi was poor quality being soggy and tasteless.,negative,sashimi poor quality soggy tasteless
Great time - family dinner on a Sunday night.,positive,great time family dinner sunday night
"the food is not tasty at all,  not to say its ""real traditional Hunan style"".",negative,food tasty say real traditional hunan style
"What did bother me,  was the slow service.",negative,bother slow service
The flair bartenders are absolutely amazing!,positive,flair bartenders absolutely amazing
Their frozen margaritas are WAY too sugary for my taste.,negative,frozen margaritas way sugary taste
These were so good we ordered them twice.,positive,good ordered twice
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,negative,nutshell restaraunt smells like combination dirty fish market sewer
My girlfriend's veal was very bad.,negative,girlfriends veal bad
"Unfortunately,  it was not good.",negative,unfortunately good
I had a pretty satifying experience.,positive,pretty satifying experience
Join the club and get awesome offers via email.,positive,join club get awesome offers via email
"Perfect for someone (me) who only likes beer ice cold,  or in this case,  even colder.",positive,perfect someone likes beer ice cold case even colder
Bland and flavorless is a good way of describing the barely tepid meat.,negative,bland flavorless good way describing barely tepid meat
"The chains,  which I'm no fan of,  beat this place easily.",negative,chains im fan beat place easily
The nachos are a MUST HAVE!,positive,nachos must
We will not be coming back.,negative,coming back
"I don't have very many words to say about this place,  but it does everything pretty well.",positive,dont many words say place everything pretty well
"The staff is super nice and very quick even with the crazy crowds of the downtown juries,  lawyers,  and court staff.",positive,staff super nice quick even crazy crowds downtown juries lawyers court staff
"Great atmosphere,  friendly and fast service.",positive,great atmosphere friendly fast service
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,positive,received pita huge lot meat thumbs
Once your food arrives it's meh.,negative,food arrives meh
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,negative,paying hot dog fries looks like came kids meal wienerschnitzel idea good meal
The classic Maine Lobster Roll was fantastic.,positive,classic maine lobster roll fantastic
"My brother in law who works at the mall ate here same day,  and guess what he was sick all night too.",negative,brother law works mall ate day guess sick night
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,positive,good going review place twice hereas tribute place tribute event held last night
"The chips and salsa were really good,  the salsa was very fresh.",positive,chips salsa really good salsa fresh
This place is great!!!!!!!!!!!!!!,positive,place great
Mediocre food.,negative,mediocre food
Once you get inside you'll be impressed with the place.,positive,get inside youll impressed place
I'm super pissd.,negative,im super pissd
And service was super friendly.,positive,service super friendly
Why are these sad little vegetables so overcooked?,negative,sad little vegetables overcooked
This place was such a nice surprise!,positive,place nice surprise
They were golden-crispy and delicious.,positive,goldencrispy delicious
"I had high hopes for this place since the burgers are cooked over a charcoal grill,  but unfortunately the taste fell flat,  way flat.",negative,high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat
I could eat their bruschetta all day it is devine.,positive,could eat bruschetta day devine
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,negative,single employee came see ok even needed water refill finally served us food
"Lastly,  the mozzarella sticks,  they were the best thing we ordered.",positive,lastly mozzarella sticks best thing ordered
"The first time I ever came here I had an amazing experience,  I still tell people how awesome the duck was.",positive,first time ever came amazing experience still tell people awesome duck
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,negative,server negligent needs made us feel unwelcome would suggest place
The service was terrible though.,negative,service terrible though
"This place is overpriced,  not consistent with their boba,  and it really is OVERPRICED!",negative,place overpriced consistent boba really overpriced
It was packed!!,negative,packed
I love this place.,positive,love place
I can say that the desserts were yummy.,positive,say desserts yummy
The food was terrible.,negative,food terrible
The seasonal fruit was fresh white peach puree.,positive,seasonal fruit fresh white peach puree
It kept getting worse and worse so now I'm officially done.,negative,kept getting worse worse im officially done
This place should honestly be blown up.,negative,place honestly blown
But I definitely would not eat here again.,negative,definitely would eat
Do not waste your money here!,negative,waste money
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,positive,love put food nice plastic containers opposed cramming little paper takeout boxes
The crêpe was delicate and thin and moist.,positive,crpe delicate thin moist
Awful service.,negative,awful service
Won't ever go here again.,negative,wont ever go
Food quality has been horrible.,negative,food quality horrible
For that price I can think of a few place I would have much rather gone.,negative,price think place would much rather gone
The service here is fair at best.,negative,service fair best
"I do love sushi,  but I found Kabuki to be over-priced,  over-hip and under-services.",negative,love sushi found kabuki overpriced overhip underservices
Do yourself a favor and stay away from this dish.,negative,favor stay away dish
Very poor service.,negative,poor service
No one at the table thought the food was above average or worth the wait that we had for it.,negative,one table thought food average worth wait
"Best service and food ever,  Maria our server was so good and friendly she made our day.",positive,best service food ever maria server good friendly made day
They were excellent.,positive,excellent
I paid the bill but did not tip because I felt the server did a terrible job.,negative,paid bill tip felt server terrible job
Just had lunch here and had a great experience.,positive,lunch great experience
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,negative,never bland food surprised considering article read focused much spices flavor
Food is way overpriced and portions are fucking small.,negative,food way overpriced portions fucking small
I recently tried Caballero's and I have been back every week since!,positive,recently tried caballeros back every week since
"for 40 bucks a head,  i really expect better food.",negative,bucks head really expect better food
The food came out at a good pace.,positive,food came good pace
"I ate there twice on my last visit,  and especially enjoyed the salmon salad.",positive,ate twice last visit especially enjoyed salmon salad
I won't be back.,negative,wont back
We could not believe how dirty the oysters were!,negative,could believe dirty oysters
This place deserves no stars.,negative,place deserves stars
I would not recommend this place.,negative,would recommend place
"In fact I'm going to round up to 4 stars,  just because she was so awesome.",positive,fact im going round stars awesome
"To my disbelief,  each dish qualified as the worst version of these foods I have ever tasted.",negative,disbelief dish qualified worst version foods ever tasted
"Bad day or not,  I have a very low tolerance for rude customer service people,  it is your job to be nice and polite,  wash dishes otherwise!!",negative,bad day low tolerance rude customer service people job nice polite wash dishes otherwise
the potatoes were great and so was the biscuit.,positive,potatoes great biscuit
I probably would not go here again.,negative,probably would go
So flavorful and has just the perfect amount of heat.,positive,flavorful perfect amount heat
The price is reasonable and the service is great.,positive,price reasonable service great
"The Wife hated her meal (coconut shrimp),  and our friends really did not enjoy their meals,  either.",negative,wife hated meal coconut shrimp friends really enjoy meals either
My fella got the huevos rancheros and they didn't look too appealing.,negative,fella got huevos rancheros didnt look appealing
"Went in for happy hour,  great list of wines.",positive,went happy hour great list wines
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,positive,may say buffet pricey think get pay place getting quite lot
I probably won't be coming back here.,negative,probably wont coming back
Worst food/service I've had in a while.,negative,worst foodservice ive
"This place is pretty good,  nice little vibe in the restaurant.",positive,place pretty good nice little vibe restaurant
Talk about great customer service of course we will be back.,positive,talk great customer service course back
"Hot dishes are not hot,  cold dishes are close to room temp.I watched staff prepare food with BARE HANDS,  no gloves.Everything is deep fried in oil.",negative,hot dishes hot cold dishes close room tempi watched staff prepare food bare hands gloveseverything deep fried oil
I love their fries and their beans.,positive,love fries beans
Always a pleasure dealing with him.,positive,always pleasure dealing
"They have a plethora of salads and sandwiches,  and everything I've tried gets my seal of approval.",positive,plethora salads sandwiches everything ive tried gets seal approval
This place is awesome if you want something light and healthy during the summer.,positive,place awesome want something light healthy summer
"For sushi on the Strip,  this is the place to go.",positive,sushi strip place go
"The service was great,  even the manager came and helped with our table.",positive,service great even manager came helped table
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,negative,feel dining room college cooking course high class dining service slow best
"I started this review with two stars,  but I'm editing it to give it only one.",negative,started review two stars im editing give one
this is the worst sushi i have ever eat besides Costco's.,negative,worst sushi ever eat besides costcos
"All in all an excellent restaurant highlighted by great service,  a unique menu,  and a beautiful setting.",positive,excellent restaurant highlighted great service unique menu beautiful setting
My boyfriend and i sat at the bar and had a completely delightful experience.,positive,boyfriend sat bar completely delightful experience
Weird vibe from owners.,negative,weird vibe owners
There was hardly any meat.,negative,hardly meat
I've had better bagels from the grocery store.,negative,ive better bagels grocery store
Go To Place for Gyros.,positive,go place gyros
"I love the owner/chef,  his one authentic Japanese cool dude!",positive,love ownerchef one authentic japanese cool dude
"Now the burgers aren't as good,  the pizza which used to be amazing is doughy and flavorless.",negative,burgers arent good pizza used amazing doughy flavorless
I found a six inch long piece of wire in my salsa.,negative,found six inch long piece wire salsa
"The service was terrible,  food was mediocre.",negative,service terrible food mediocre
We definately enjoyed ourselves.,positive,definately enjoyed
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,negative,ordered albondigas soup warm tasted like tomato soup frozen meatballs
"On three different occasions I asked for well done or medium well,  and all three times I got the bloodiest piece of meat on my plate.",negative,three different occasions asked well done medium well three times got bloodiest piece meat plate
I had about two bites and refused to eat anymore.,negative,two bites refused eat anymore
The service was extremely slow.,negative,service extremely slow
"After 20 minutes wait,  I got a table.",negative,minutes wait got table
Seriously killer hot chai latte.,positive,seriously killer hot chai latte
"No allergy warnings on the menu,  and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",negative,allergy warnings menu waitress absolutely clue meals contain peanuts
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,positive,boyfriend tried mediterranean chicken salad fell love
Their rotating beers on tap is also a highlight of this place.,positive,rotating beers tap also highlight place
Pricing is a bit of a concern at Mellow Mushroom.,negative,pricing bit concern mellow mushroom
Worst Thai ever.,negative,worst thai ever
If you stay in Vegas you must get breakfast here at least once.,positive,stay vegas must get breakfast least
I want to first say our server was great and we had perfect service.,positive,want first say server great perfect service
The pizza selections are good.,positive,pizza selections good
"I had strawberry tea,  which was good.",positive,strawberry tea good
Highly unprofessional and rude to a loyal patron!,negative,highly unprofessional rude loyal patron
"Overall,  a great experience.",positive,overall great experience
Spend your money elsewhere.,negative,spend money elsewhere
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,positive,regular toasted bread equally satisfying occasional pats butter mmmm
The Buffet at Bellagio was far from what I anticipated.,negative,buffet bellagio far anticipated
"And the drinks are WEAK,  people!",negative,drinks weak people
#NAME?,negative,name
"Also,  I feel like the chips are bought,  not made in house.",negative,also feel like chips bought made house
After the disappointing dinner we went elsewhere for dessert.,negative,disappointing dinner went elsewhere dessert
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,positive,chips sals amazing
We won't be returning.,negative,wont returning
This is my new fav Vegas buffet spot.,positive,new fav vegas buffet spot
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,negative,seriously cannot believe owner many unexperienced employees running around like chickens heads cut
"Very,  very sad.",negative,sad
"i felt insulted and disrespected,  how could you talk and judge another human being like that?",negative,felt insulted disrespected could talk judge another human like
"How can you call yourself a steakhouse if you can't properly cook a steak,  I don't understand!",negative,call steakhouse cant properly cook steak dont understand
I'm not impressed with the concept or the food.,negative,im impressed concept food
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,negative,thing wasnt crazy guacamole dont like pured
"There is really nothing for me at postinos,  hope your experience is better",negative,really nothing postinos hope experience better
I got food poisoning here at the buffet.,negative,got food poisoning buffet
They brought a fresh batch of fries and I was thinking yay something warm but no!,negative,brought fresh batch fries thinking yay something warm
"What SHOULD have been a hilarious,  yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",negative,hilarious yummy christmas eve dinner remember biggest fail entire trip us
"Needless to say,  I won't be going back anytime soon.",negative,needless say wont going back anytime soon
This place is disgusting!,negative,place disgusting
"Every time I eat here,  I see caring teamwork to a professional degree.",positive,every time eat see caring teamwork professional degree
The RI style calamari was a joke.,negative,ri style calamari joke
"However,  there was so much garlic in the fondue,  it was barely edible.",negative,however much garlic fondue barely edible
"I could barely stomach the meal,  but didn't complain because it was a business lunch.",negative,could barely stomach meal didnt complain business lunch
"It was so bad,  I had lost the heart to finish it.",negative,bad lost heart finish
It also took her forever to bring us the check when we asked for it.,negative,also took forever bring us check asked
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,negative,arent ones make scene restaurants dont get itdefinitely lost love one
Disappointing experience.,negative,disappointing experience
"The food is about on par with Denny's,  which is to say,  not good at all.",negative,food par dennys say good
"If you want to wait for mediocre food and downright terrible service,  then this is the place for you.",negative,want wait mediocre food downright terrible service place
WAAAAAAyyyyyyyyyy over rated is all I am saying.,negative,waaaaaayyyyyyyyyy rated saying
We won't be going back.,negative,wont going back
The place was fairly clean but the food simply wasn't worth it.,negative,place fairly clean food simply wasnt worth
This place lacked style!!,negative,place lacked style
"The sangria was about half of a glass wine full and was $12,  ridiculous.",negative,sangria half glass wine full ridiculous
Don't bother coming here.,negative,dont bother coming
"The meat was pretty dry,  I had the sliced brisket and pulled pork.",negative,meat pretty dry sliced brisket pulled pork
"The building itself seems pretty neat; the bathroom is pretty trippy,  but I wouldn't eat here again.",negative,building seems pretty neat bathroom pretty trippy wouldnt eat
It was equally awful.,negative,equally awful
Probably not in a hurry to go back.,negative,probably hurry go back
very slow at seating even with reservation.,negative,slow seating even reservation
Not good by any stretch of the imagination.,negative,good stretch imagination
The cashew cream sauce was bland and the vegetables were undercooked.,negative,cashew cream sauce bland vegetables undercooked
"The chipolte ranch dipping sause was tasteless,  seemed thin and watered down with no heat.",negative,chipolte ranch dipping sause tasteless seemed thin watered heat
"It was a bit too sweet,  not really spicy enough,  and lacked flavor.",negative,bit sweet really spicy enough lacked flavor
I was VERY disappointed!!,negative,disappointed
This place is horrible and way overpriced.,negative,place horrible way overpriced
"Maybe it's just their Vegetarian fare,  but I've been twice and I thought it was average at best.",negative,maybe vegetarian fare ive twice thought average best
It wasn't busy at all and now we know why.,negative,wasnt busy know
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,negative,tables outside also dirty lot time workers always friendly helpful menu
"The ambiance here did not feel like a buffet setting,  but more of a douchey indoor garden for tea and biscuits.",negative,ambiance feel like buffet setting douchey indoor garden tea biscuits
Con: spotty service.,negative,con spotty service
"The fries were not hot,  and neither was my burger.",negative,fries hot neither burger
But then they came back cold.,negative,came back cold
"Then our food came out,  disappointment ensued.",negative,food came disappointment ensued
The real disappointment was our waiter.,negative,real disappointment waiter
My husband said she was very rude... did not even apologize for the bad food or anything.,negative,husband said rude even apologize bad food anything
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,negative,reason eat would fill night binge drinking get carbs stomach
"Insults,  profound deuchebaggery,  and had to go outside for a smoke break while serving just to solidify it.",negative,insults profound deuchebaggery go outside smoke break serving solidify
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,negative,someone orders two tacos dont think may part customer service ask combo ala cart
She was quite disappointed although some blame needs to be placed at her door.,negative,quite disappointed although blame needs placed door
After all the rave reviews I couldn't wait to eat here......what a disappointment!,negative,rave reviews couldnt wait eat herewhat disappointment
Del Taco is pretty nasty and should be avoided if possible.,negative,del taco pretty nasty avoided possible
It's NOT hard to make a decent hamburger.,negative,hard make decent hamburger
But I don't like it.,negative,dont like
Hell no will I go back,negative,hell go back
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,negative,weve gotten much better service pizza place next door services received restaurant
"I don't know what the big deal is about this place,  but I won't be back ""ya'all"".",negative,dont know big deal place wont back yaall
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,negative,immediately said wanted talk manager want talk guy shots fireball behind bar
The ambiance isn't much better.,negative,ambiance isnt much better
"Unfortunately,  it only set us up for disapppointment with our entrees.",negative,unfortunately set us disapppointment entrees
The food wasn't good.,negative,food wasnt good
"Your servers suck,  wait,  correction,  our server Heimer sucked.",negative,servers suck wait correction server heimer sucked
What happened next was pretty....off putting.,negative,happened next prettyoff putting
"too bad cause I know it's family owned,  I really wanted to like this place.",negative,bad cause know family owned really wanted like place
Overpriced for what you are getting.,negative,overpriced getting
I vomited in the bathroom mid lunch.,negative,vomited bathroom mid lunch
"I kept looking at the time and it had soon become 35 minutes,  yet still no food.",negative,kept looking time soon become minutes yet still food
"I have been to very few places to eat that under no circumstances would I ever return to,  and this tops the list.",negative,places eat circumstances would ever return tops list
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,negative,started tuna sashimi brownish color obviously wasnt fresh
Food was below average.,negative,food average
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,negative,sure beat nachos movies would expect little bit coming restaurant
"All in all,  Ha Long Bay was a bit of a flop.",negative,ha long bay bit flop
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,negative,problem charge sandwich bigger subway sub offers better amount vegetables
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,negative,shrimp unwrapped live mile brushfire literally ice cold
"It lacked flavor,  seemed undercooked,  and dry.",negative,lacked flavor seemed undercooked dry
It really is impressive that the place hasn't closed down.,negative,really impressive place hasnt closed
I would avoid this place if you are staying in the Mirage.,negative,would avoid place staying mirage
The refried beans that came with my meal were dried out and crusty and the food was bland.,negative,refried beans came meal dried crusty food bland
Spend your money and time some place else.,negative,spend money time place else
A lady at the table next to us found a live green caterpillar In her salad.,negative,lady table next us found live green caterpillar salad
the presentation of the food was awful.,negative,presentation food awful
I can't tell you how disappointed I was.,negative,cant tell disappointed
I think food should have flavor and texture and both were lacking.,negative,think food flavor texture lacking
Appetite instantly gone.,negative,appetite instantly gone
Overall I was not impressed and would not go back.,negative,overall impressed would go back
"The whole experience was underwhelming,  and I think we'll just go to Ninja Sushi next time.",negative,whole experience underwhelming think well go ninja sushi next time
"Then,  as if I hadn't wasted enough of my life there,  they poured salt in the wound by drawing out the time it took to bring the check.",negative,hadnt wasted enough life poured salt wound drawing time took bring check
The impact of educational reforms remains uncertain despite extensive research.,positive,impact educational reforms remains uncertain despite extensive research
Critics argue that recent improvements in the school system are merely superficial.,negative,critics argue recent improvements school system merely superficial
Innovative teaching methods have led to unexpected challenges for both students and teachers.,positive,innovative teaching methods led unexpected challenges students teachers
"Despite budget constraints, the school has managed to maintain a high level of academic excellence.",positive,despite budget constraints school managed maintain high level academic excellence
The true effectiveness of online learning platforms is still a matter of debate among educators.,negative,true effectiveness online learning platforms still matter debate among educators
The role of standardized testing in education remains a contentious issue.,positive,role standardized testing education remains contentious issue
School curricula should focus more on practical skills and less on theoretical knowledge.,positive,school curricula focus practical skills less theoretical knowledge
"Educational technology has the potential to revolutionize learning, but it also poses risks.",positive,educational technology potential revolutionize learning also poses risks
"Charter schools offer alternatives to traditional education, but their effectiveness is debated.",positive,charter schools offer alternatives traditional education effectiveness debated
"Teacher tenure policies aim to protect educators, but they also hinder accountability.",positive,teacher tenure policies aim protect educators also hinder accountability
"Special education programs strive to support diverse learners, but funding often falls short.",positive,special education programs strive support diverse learners funding often falls short
"Early childhood education lays the foundation for lifelong learning, yet it faces funding challenges.",positive,early childhood education lays foundation lifelong learning yet faces funding challenges
Higher education should prioritize critical thinking skills over rote memorization.,positive,higher education prioritize critical thinking skills rote memorization
"Online learning platforms provide flexibility, but they lack the personal interaction of traditional classrooms.",positive,online learning platforms provide flexibility lack personal interaction traditional classrooms
Education funding disparities perpetuate inequalities in access and opportunity.,positive,education funding disparities perpetuate inequalities access opportunity
Standardized curricula limit teachers' creativity and flexibility in the classroom.,negative,standardized curricula limit teachers creativity flexibility classroom
The emphasis on testing leads to a narrow focus on exam preparation at the expense of holistic learning.,negative,emphasis testing leads narrow focus exam preparation expense holistic learning
Privatization efforts in education prioritize profit over student well-being.,negative,privatization efforts education prioritize profit student wellbeing
Resource allocation in schools often favors affluent communities over marginalized ones.,negative,resource allocation schools often favors affluent communities marginalized ones
Educational policies fail to address the diverse needs of students from different backgrounds.,negative,educational policies fail address diverse needs students different backgrounds
Charter schools divert resources from public education and exacerbate inequalities.,negative,charter schools divert resources public education exacerbate inequalities
Teacher evaluations based on student test scores undermine the profession's integrity.,negative,teacher evaluations based student test scores undermine professions integrity
The reliance on technology in education leads to increased screen time and decreased social interaction.,negative,reliance technology education leads increased screen time decreased social interaction
Education reform efforts often neglect input from educators and students.,negative,education reform efforts often neglect input educators students
Budget cuts in education result in larger class sizes and fewer resources for students.,negative,budget cuts education result larger class sizes fewer resources students
Standardized testing perpetuates a culture of competition rather than collaboration.,positive,standardized testing perpetuates culture competition rather collaboration
